"year","university","tuition_and_fees","total_expenses"
"2015","133465","16025735.0","18329200.0"
"2015","133492","46660138.0","71039100.0"
"2015","133508","18551715.0","101282000.0"
"2015","133526","9142359.0","22262200.0"
"2015","133553","149739000.0","328293000.0"
"2015","133650","44654234.0","292864000.0"
"2015","133669","144741823.0","499206000.0"
"2015","133702","37479299.0","194593000.0"
"2015","133711","39329887.0","53072900.0"
"2015","133809","8187816.0","17428600.0"
"2015","133845","6997000.0","9687000.0"
"2015","133854","5801000.0","8798000.0"
"2015","133863","4984000.0","7004000.0"
"2015","133872","23221811.0","31008700.0"
"2015","133881","124899465.0","200690000.0"
"2015","133942","812372.0",""
"2015","133951","279373175.0","885881000.0"
"2015","133960","2249505.0","12040400.0"
"2015","133979","20627431.0","36060600.0"
"2015","133997","7413194.0","80892400.0"
"2015","134024","1129988.0",""
"2015","134079","44015330.0","70310800.0"
"2015","134097","251879420.0","1089190000.0"
"2015","134112","35823667.0","57708200.0"
"2015","134130","375820000.0","2602870000.0"
"2015","134149","9763909.0","5934880.0"
"2015","134228","68451.0",""
"2015","134237","373775538.0","300582000.0"
"2015","134291","333078.0",""
